"Asset","Date","Description","Amount","Fee","Price","Pair","Other Currency","Other Amount","IBAN","Transaction Hash","Address","Tram","Additional Info"
# sold XRP for USD
#CM has two rows for each transaction, but all the necessary info is present in 1, so we can ignore the dup
# BUY=(to-from) and SELL=(from-to)
# sell
#"XRP","2021-04-30 10:52:36","Order 46a38676ba8aae7f","-20.0","0","0.00002825","XRP/BTC","BTC","0.0005649","n/a","n/a","n/a","n/a","n/a"
#buy
#"BTC","2021-04-30 10:52:36","Order 46a38676ba8aae7f","0.0005644","0.000001","0.00002825","XRP/BTC","XRP","-20.0","n/a","n/a","n/a","n/a","n/a"
# looks like fee is always present on the row with positive value first
###########
# a standard BUY of XRP from market XRP/USD , except fee is in XRP, which is abnormal because fee is usually in base currency
# usually a buy
#"XRP","2021-12-06 00:33:39","Order f02b87907994230b","59.94","0.06","0.8","XRP/USD","USD","-48.0","n/a","n/a","n/a","n/a","n/a"# 
#
################## BELOW HERE IS ACTUAL FILE ####################################
#2022
"XRP","2022-11-10 11:29:46","Order 77fcec0044fe40f0","137.7","0","0.363062","XRP/USD","USD","-49.99","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-11-10 11:29:46","Order 77fcec0044fe40f0","-50.0","0","0.363062","XRP/USD","XRP","137.72","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"ETH","2022-09-23 11:39:32","Order 852362607574fc39","0.0523","0","2677.0","ETH/XRP","XRP","-140.01","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"XRP","2022-09-23 11:39:32","Order 852362607574fc39","-140.0","0","2677.0","ETH/XRP","ETH","0.0523","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"BTC","2022-09-21 00:22:06","Order 2d0dd91b6a7305cf","0.007821","0","19180.3","BTC/USD","USD","-150.01","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-09-21 00:22:06","Order 2d0dd91b6a7305cf","-150.0","0","19180.3","BTC/USD","BTC","0.007821","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-09-21 00:19:08","Order 9672da23f076f3ca","70.68","0","0.40387","XRP/USD","XRP","-175.01","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"XRP","2022-09-21 00:19:08","Order 9672da23f076f3ca","-175.0","0","0.40387","XRP/USD","USD","70.68","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"XRP","2022-06-13 11:52:31","Order 5b9eff7e4fbea19a","160.5","0","0.311464","XRP/USD","USD","-49.99","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
"USD","2022-06-13 11:52:31","Order 5b9eff7e4fbea19a","-50.0","0","0.311464","XRP/USD","XRP","160.53","n/a","n/a","n/a","n/a","n/a","n/a","n/a"
